"","Target","ResponseId","PROLIFIC_PID","ranking_1","ranking_2","ranking_3","ranking_4","ranking_5","ranking_6","ranking_7","ranking_8","ranking_9","ranking_10","Condition","gender","age","ethnicity","education","name","Advice","url.0.URL","url.1.URL","url.2.URL","url.3.URL","url.4.URL","url.5.URL","url.6.URL","url.7.URL","url.8.URL","url.9.URL","finalRank"
"119","F_24P3Bk4Nz9Nk3OZ","R_29oZHiOExg2aVz3","5e1371f92b12bd9a96c2d902","2","5","7","9","8","10","1","6","3","4","Accurate","Female",42,"White or Caucasian","Bachelor’s degree","3_advice",7,"F_1mf0eh5BWIr0Sg5","F_1o0Y2nbMjXZ1Jls","F_24P3Bk4Nz9Nk3OZ","F_21FycR1TezOTMM1","F_1k0T4yHXh6oltUO","F_1ikThkbbMIMMH0I","F_1okjeLNnnE0ptZi","F_25EoTM2h4cFmj5U","F_1jWgE6Xc6XpSFIJ","F_1hJZqTl8MA7HPUq",7
"120","F_24P3Bk4Nz9Nk3OZ","R_1LO6bxaOApVEwiQ","642f45dda7fbedcf5a96c451","9","2","10","1","5","3","4","8","6","7","Accurate","Female",49,"White or Caucasian","Some college, but no degree","10_advice",4,"F_1k0T4yHXh6oltUO","F_1okjeLNnnE0ptZi","F_21FycR1TezOTMM1","F_1mf0eh5BWIr0Sg5","F_1jWgE6Xc6XpSFIJ","F_1hJZqTl8MA7HPUq","F_25EoTM2h4cFmj5U","F_1ikThkbbMIMMH0I","F_1o0Y2nbMjXZ1Jls","F_24P3Bk4Nz9Nk3OZ",7
"121","F_24P3Bk4Nz9Nk3OZ","R_dnh6DpAfrzkHdXX","5a1cddb4087f2e0001eafb99","1","3","2","8","5","10","9","4","7","6","Accurate","Female",44,"White or Caucasian","Some college, but no degree","9_advice",5,"F_1mf0eh5BWIr0Sg5","F_1hJZqTl8MA7HPUq","F_1okjeLNnnE0ptZi","F_1k0T4yHXh6oltUO","F_25EoTM2h4cFmj5U","F_21FycR1TezOTMM1","F_1ikThkbbMIMMH0I","F_1o0Y2nbMjXZ1Jls","F_24P3Bk4Nz9Nk3OZ","F_1jWgE6Xc6XpSFIJ",7
"122","F_25EoTM2h4cFmj5U","R_2rwNX6z7pgT6r1G","5dcca657854936945d68eaa9","10","1","7","4","8","3","2","6","9","5","Likable","Female",50,"White or Caucasian","Bachelor’s degree","3_advice",7,"F_24P3Bk4Nz9Nk3OZ","F_1mf0eh5BWIr0Sg5","F_25EoTM2h4cFmj5U","F_1o0Y2nbMjXZ1Jls","F_1ikThkbbMIMMH0I","F_1okjeLNnnE0ptZi","F_1jWgE6Xc6XpSFIJ","F_21FycR1TezOTMM1","F_1k0T4yHXh6oltUO","F_1hJZqTl8MA7HPUq",6
"123","F_25EoTM2h4cFmj5U","R_3l65j43SmY7dZap","62676456c3035c8461935d31","4","5","3","7","9","8","10","6","2","1","Accurate","Female",56,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","4_advice",2,"F_1ikThkbbMIMMH0I","F_1o0Y2nbMjXZ1Jls","F_1mf0eh5BWIr0Sg5","F_25EoTM2h4cFmj5U","F_1hJZqTl8MA7HPUq","F_21FycR1TezOTMM1","F_24P3Bk4Nz9Nk3OZ","F_1k0T4yHXh6oltUO","F_1okjeLNnnE0ptZi","F_1jWgE6Xc6XpSFIJ",6
"124","F_25EoTM2h4cFmj5U","R_2R2mMcWt07Eg8SW","6172beb0f3eecef16ddfb111","10","6","1","8","2","7","3","4","5","9","Accurate","Female",25,"White or Caucasian","Bachelor’s degree","6_advice",7,"F_1k0T4yHXh6oltUO","F_1hJZqTl8MA7HPUq","F_1okjeLNnnE0ptZi","F_24P3Bk4Nz9Nk3OZ","F_1jWgE6Xc6XpSFIJ","F_25EoTM2h4cFmj5U","F_1mf0eh5BWIr0Sg5","F_1o0Y2nbMjXZ1Jls","F_1ikThkbbMIMMH0I","F_21FycR1TezOTMM1",6
"125","F_25sXyX3UPSCmm26","R_2R1SZkN22Y9ZU7e","5efb31fa8cd32f04bf048643","7","10","1","5","2","6","3","8","9","4","Accurate","Female",36,"White or Caucasian","Associates or technical degree","1_advice",7,"F_25sXyX3UPSCmm26","F_2YEQ2B2ewOLSors","F_2TvB6UWTDe0NVy6","F_2V2ckr3pz3KUvAJ","F_2R4Vx6rPeJ8QCL6","F_2OUPUqsP5PYUw8t","F_2QxnIdBoovHjjYQ","F_2WINUPBCKOdHz6J","F_2DOIr8Hxz10zA5n","F_2VlvJu7bcKL3C8U",4
"126","F_25sXyX3UPSCmm26","R_2Ylm0S4PXJOrJI4","59c843b646f72100019067ce","5","9","1","3","4","8","7","10","2","6","Accurate","Female",51,"Black or African American","Some college, but no degree","7_advice",7,"F_2OUPUqsP5PYUw8t","F_2VlvJu7bcKL3C8U","F_2TvB6UWTDe0NVy6","F_2V2ckr3pz3KUvAJ","F_2DOIr8Hxz10zA5n","F_2WINUPBCKOdHz6J","F_25sXyX3UPSCmm26","F_2YEQ2B2ewOLSors","F_2R4Vx6rPeJ8QCL6","F_2QxnIdBoovHjjYQ",4
"127","F_25sXyX3UPSCmm26","R_32Plr2t9RaNz6EV","616d09161d975b379aa79f99","2","7","10","4","6","5","9","1","3","8","Accurate","Female",33,"Black or African American","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","2_advice",7,"F_2V2ckr3pz3KUvAJ","F_25sXyX3UPSCmm26","F_2YEQ2B2ewOLSors","F_2TvB6UWTDe0NVy6","F_2DOIr8Hxz10zA5n","F_2OUPUqsP5PYUw8t","F_2VlvJu7bcKL3C8U","F_2R4Vx6rPeJ8QCL6","F_2QxnIdBoovHjjYQ","F_2WINUPBCKOdHz6J",4
"128","F_25sXyX3UPSCmm26","R_1Ny8nIBHXc5noeb","5e1f298dd205eb000b74eae0","10","4","5","6","7","8","2","3","9","1","Accurate","Female",52,"White or Caucasian","Some college, but no degree","5_advice",5,"F_2YEQ2B2ewOLSors","F_2OUPUqsP5PYUw8t","F_2QxnIdBoovHjjYQ","F_2WINUPBCKOdHz6J","F_25sXyX3UPSCmm26","F_2VlvJu7bcKL3C8U","F_2TvB6UWTDe0NVy6","F_2V2ckr3pz3KUvAJ","F_2DOIr8Hxz10zA5n","F_2R4Vx6rPeJ8QCL6",4
"129","F_2A0XS21S1xFDhcf","R_2rVJHz3uORQyW9y","63122e37da896974502ddacf","8","2","1","10","9","7","3","6","4","5","Accurate","Male",47,"White or Caucasian","Some college, but no degree","6_advice",6,"F_2TIfZib7lh6SlEK","F_2D79Z7IMYok2EJL","F_2UWLFxoMrEDwbGY","F_2P8dAbbylEFAIIv","F_2OSH6c5r5dEQ8bH","F_2A0XS21S1xFDhcf","F_2U4yLeE4ig5Tlm4","F_2S2X1YwaNf2jg5Y","F_2EbqxUIxsoZh86t","F_2SJHPgJExaZV9dD",7
"130","F_2A0XS21S1xFDhcf","R_32WSdkeGlMsEeBM","6101a1b6117210cbfabf75f5","1","2","8","6","4","5","9","10","3","7","Accurate","Male",26,"White or Caucasian","Some college, but no degree","10_advice",7,"F_2UWLFxoMrEDwbGY","F_2U4yLeE4ig5Tlm4","F_2TIfZib7lh6SlEK","F_2OSH6c5r5dEQ8bH","F_2D79Z7IMYok2EJL","F_2S2X1YwaNf2jg5Y","F_2SJHPgJExaZV9dD","F_2P8dAbbylEFAIIv","F_2EbqxUIxsoZh86t","F_2A0XS21S1xFDhcf",7
"131","F_2A0XS21S1xFDhcf","R_b71sAuRnMc4Z0FX","63e52887901151aff92a8c11","8","4","5","3","7","10","1","6","2","9","Accurate","Male",27,"White or Caucasian","Bachelor’s degree","5_advice",7,"F_2SJHPgJExaZV9dD","F_2S2X1YwaNf2jg5Y","F_2D79Z7IMYok2EJL","F_2EbqxUIxsoZh86t","F_2A0XS21S1xFDhcf","F_2P8dAbbylEFAIIv","F_2UWLFxoMrEDwbGY","F_2TIfZib7lh6SlEK","F_2U4yLeE4ig5Tlm4","F_2OSH6c5r5dEQ8bH",7
"132","F_2A0XS21S1xFDhcf","R_3szjmjGD11rZpKu","63616240cc69594f32b0ff2e","1","7","4","2","9","8","5","6","10","3","Likable","Male",30,"White or Caucasian","Bachelor’s degree","2_advice",6,"F_2EbqxUIxsoZh86t","F_2A0XS21S1xFDhcf","F_2S2X1YwaNf2jg5Y","F_2UWLFxoMrEDwbGY","F_2TIfZib7lh6SlEK","F_2SJHPgJExaZV9dD","F_2D79Z7IMYok2EJL","F_2OSH6c5r5dEQ8bH","F_2P8dAbbylEFAIIv","F_2U4yLeE4ig5Tlm4",7
"133","F_2A0XS21S1xFDhcf","R_SDDrOiTpAH8TxW9","5ffe235ea848b74a3b3ccd07","1","2","7","6","9","10","8","3","4","5","Accurate","Male",39,"White or Caucasian","Bachelor’s degree","3_advice",8,"F_2EbqxUIxsoZh86t","F_2U4yLeE4ig5Tlm4","F_2A0XS21S1xFDhcf","F_2SJHPgJExaZV9dD","F_2OSH6c5r5dEQ8bH","F_2P8dAbbylEFAIIv","F_2TIfZib7lh6SlEK","F_2D79Z7IMYok2EJL","F_2UWLFxoMrEDwbGY","F_2S2X1YwaNf2jg5Y",7
"134","F_2A0XS21S1xFDhcf","R_3MhRRE2egQSytdf","5b5a51302b05780001a8ae0b","7","6","5","3","10","8","4","9","2","1","Likable","Male",35,"Black or African American","Some college, but no degree","1_advice",6,"F_2A0XS21S1xFDhcf","F_2OSH6c5r5dEQ8bH","F_2D79Z7IMYok2EJL","F_2EbqxUIxsoZh86t","F_2SJHPgJExaZV9dD","F_2P8dAbbylEFAIIv","F_2UWLFxoMrEDwbGY","F_2TIfZib7lh6SlEK","F_2S2X1YwaNf2jg5Y","F_2U4yLeE4ig5Tlm4",7
"135","F_2A0XS21S1xFDhcf","R_2OIN9q9afZpMflN","6325b8a7fcafb1208f542e93","9","4","3","8","10","1","2","5","7","6","Accurate","Male",35,"White or Caucasian","Associates or technical degree","9_advice",6,"F_2SJHPgJExaZV9dD","F_2S2X1YwaNf2jg5Y","F_2D79Z7IMYok2EJL","F_2OSH6c5r5dEQ8bH","F_2P8dAbbylEFAIIv","F_2UWLFxoMrEDwbGY","F_2EbqxUIxsoZh86t","F_2U4yLeE4ig5Tlm4","F_2A0XS21S1xFDhcf","F_2TIfZib7lh6SlEK",7
"136","F_2A0XS21S1xFDhcf","R_sZLJlNdHjL4B7gd","6313a3d93104022e9b8a7318","9","8","10","3","1","2","6","5","7","4","Accurate","Male",38,"White or Caucasian","Bachelor’s degree","9_advice",8,"F_2P8dAbbylEFAIIv","F_2SJHPgJExaZV9dD","F_2TIfZib7lh6SlEK","F_2S2X1YwaNf2jg5Y","F_2EbqxUIxsoZh86t","F_2U4yLeE4ig5Tlm4","F_2OSH6c5r5dEQ8bH","F_2D79Z7IMYok2EJL","F_2A0XS21S1xFDhcf","F_2UWLFxoMrEDwbGY",7
"137","F_2bIBgJo4SNw0OGt","R_2WYmBwSWdCWR5t0","6342e1dec81e1cd2dbf925c7","1","4","2","3","7","9","5","10","6","8","Likable","Female",60,"White or Caucasian","Bachelor’s degree","5_advice",5,"F_2wh2IDjsftRJb8j","F_2tm9Iv45wzDeg7l","F_2xY7c4yHNgf5XQr","F_2ePD2jGJu5LQOIU","F_2bIBgJo4SNw0OGt","F_2fy2vQzo7RiLI29","F_2flbSZ3386sePEL","F_2dG79BQ86EYC6xy","F_2eOQV6PXKbOAo65","F_2bNMbNUHwOsjSfQ",4
"138","F_2bNMbNUHwOsjSfQ","R_2E9HUxfmrdy4B6E","610c0307782b54307339d806","5","9","10","3","1","2","8","6","7","4","Likable","Female",20,"White or Caucasian","Some college, but no degree","9_advice",3,"F_2bIBgJo4SNw0OGt","F_2fy2vQzo7RiLI29","F_2dG79BQ86EYC6xy","F_2flbSZ3386sePEL","F_2wh2IDjsftRJb8j","F_2eOQV6PXKbOAo65","F_2ePD2jGJu5LQOIU","F_2tm9Iv45wzDeg7l","F_2bNMbNUHwOsjSfQ","F_2xY7c4yHNgf5XQr",8
"139","F_2bNMbNUHwOsjSfQ","R_ub4M5obIjPDqZzj","5fba83d59b6574a3b7a9cdef","1","7","5","6","4","9","8","3","2","10","Accurate","Female",47,"Other","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","2_advice",6,"F_2wh2IDjsftRJb8j","F_2bNMbNUHwOsjSfQ","F_2fy2vQzo7RiLI29","F_2ePD2jGJu5LQOIU","F_2flbSZ3386sePEL","F_2dG79BQ86EYC6xy","F_2eOQV6PXKbOAo65","F_2bIBgJo4SNw0OGt","F_2xY7c4yHNgf5XQr","F_2tm9Iv45wzDeg7l",8
"140","F_2bNMbNUHwOsjSfQ","R_0IK53Fmd3l4pPLX","6229ee11f6b5405956544966","5","9","1","3","6","4","8","7","10","2","Likable","Female",61,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","8_advice",8,"F_2eOQV6PXKbOAo65","F_2fy2vQzo7RiLI29","F_2bIBgJo4SNw0OGt","F_2xY7c4yHNgf5XQr","F_2flbSZ3386sePEL","F_2ePD2jGJu5LQOIU","F_2dG79BQ86EYC6xy","F_2bNMbNUHwOsjSfQ","F_2tm9Iv45wzDeg7l","F_2wh2IDjsftRJb8j",8
"141","F_2bObhWVEeUX95rB","R_2TnkSYsJebRRe9T","58380cb9f1faf8000129673a","7","6","8","10","9","1","2","5","4","3","Likable","Male",28,"White or Caucasian","Bachelor’s degree","1_advice",6,"F_2bObhWVEeUX95rB","F_2cqQJAkDBvFa7xu","F_2pVo0aEud3wtOS8","F_2X0AtHS0T9w4W6p","F_2qat8eEGitOzdNk","F_2aWUU2D0gW9Dtt0","F_2fkbeyEnBnr5OvX","F_2WP5vO5hQ8fqX32","F_2b1WvETvZdlBk9L","F_2qDb7rlgGSBrGaB",4
"142","F_2cqQJAkDBvFa7xu","R_1OVSrt6pS861P03","5ddd2a4459b1b0c7509c7a47","1","9","7","8","3","6","4","2","10","5","Accurate","Male",47,"White or Caucasian","High school diploma or GED","3_advice",7,"F_2b1WvETvZdlBk9L","F_2pVo0aEud3wtOS8","F_2cqQJAkDBvFa7xu","F_2qat8eEGitOzdNk","F_2aWUU2D0gW9Dtt0","F_2fkbeyEnBnr5OvX","F_2bObhWVEeUX95rB","F_2qDb7rlgGSBrGaB","F_2X0AtHS0T9w4W6p","F_2WP5vO5hQ8fqX32",6
"143","F_2cqQJAkDBvFa7xu","R_6qUQGkuYkzjpjG1","63cff43985317bac287a325f","8","2","3","7","5","6","9","4","1","10","Likable","Male",44,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","4_advice",3,"F_2qat8eEGitOzdNk","F_2b1WvETvZdlBk9L","F_2aWUU2D0gW9Dtt0","F_2cqQJAkDBvFa7xu","F_2fkbeyEnBnr5OvX","F_2bObhWVEeUX95rB","F_2WP5vO5hQ8fqX32","F_2X0AtHS0T9w4W6p","F_2qDb7rlgGSBrGaB","F_2pVo0aEud3wtOS8",6
"144","F_2cqQJAkDBvFa7xu","R_RsMdgCEJ5rAEujf","5bc8897f462bdb0001a61426","1","6","2","5","8","4","9","10","7","3","Likable","Male",41,"White or Caucasian","Some college, but no degree","9_advice",6,"F_2qDb7rlgGSBrGaB","F_2X0AtHS0T9w4W6p","F_2b1WvETvZdlBk9L","F_2aWUU2D0gW9Dtt0","F_2WP5vO5hQ8fqX32","F_2bObhWVEeUX95rB","F_2qat8eEGitOzdNk","F_2pVo0aEud3wtOS8","F_2cqQJAkDBvFa7xu","F_2fkbeyEnBnr5OvX",6
"145","F_2cqQJAkDBvFa7xu","R_DxgFs3qscYYe9Dr","5b8e9747a862a6000120a050","2","3","4","6","1","5","8","10","7","9","Accurate","Male",36,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","9_advice",7,"F_2b1WvETvZdlBk9L","F_2fkbeyEnBnr5OvX","F_2bObhWVEeUX95rB","F_2WP5vO5hQ8fqX32","F_2qDb7rlgGSBrGaB","F_2aWUU2D0gW9Dtt0","F_2X0AtHS0T9w4W6p","F_2qat8eEGitOzdNk","F_2cqQJAkDBvFa7xu","F_2pVo0aEud3wtOS8",6
"146","F_2D79Z7IMYok2EJL","R_24O8fYNFLujpezW","63d3f987619fb984bbfd9693","7","10","2","3","9","1","5","6","4","8","Likable","Male",24,"Black or African American","Bachelor’s degree","1_advice",4,"F_2D79Z7IMYok2EJL","F_2TIfZib7lh6SlEK","F_2UWLFxoMrEDwbGY","F_2EbqxUIxsoZh86t","F_2A0XS21S1xFDhcf","F_2OSH6c5r5dEQ8bH","F_2SJHPgJExaZV9dD","F_2P8dAbbylEFAIIv","F_2U4yLeE4ig5Tlm4","F_2S2X1YwaNf2jg5Y",4
"147","F_2dG79BQ86EYC6xy","R_1mjUwPiXMByG2cb","5c58d56d53fba80001bd70c0","8","2","10","1","9","4","3","5","7","6","Accurate","Female",43,"White or Caucasian","Associates or technical degree","9_advice",6,"F_2eOQV6PXKbOAo65","F_2xY7c4yHNgf5XQr","F_2fy2vQzo7RiLI29","F_2wh2IDjsftRJb8j","F_2bNMbNUHwOsjSfQ","F_2ePD2jGJu5LQOIU","F_2flbSZ3386sePEL","F_2bIBgJo4SNw0OGt","F_2dG79BQ86EYC6xy","F_2tm9Iv45wzDeg7l",8
"148","F_2DOIr8Hxz10zA5n","R_1f7Mf4aJxnkHeYH","5a6d4c08e6cc4a0001b6c4f6","8","2","9","7","1","3","5","6","4","10","Likable","Female",26,"White or Caucasian","Bachelor’s degree","4_advice",7,"F_2VlvJu7bcKL3C8U","F_2TvB6UWTDe0NVy6","F_2WINUPBCKOdHz6J","F_2DOIr8Hxz10zA5n","F_2QxnIdBoovHjjYQ","F_2R4Vx6rPeJ8QCL6","F_25sXyX3UPSCmm26","F_2OUPUqsP5PYUw8t","F_2V2ckr3pz3KUvAJ","F_2YEQ2B2ewOLSors",7
"149","F_2DOIr8Hxz10zA5n","R_3iDtNFTL7qxdtxC","5e83adf76ea9870c99d4b086","6","5","2","10","1","9","8","3","7","4","Accurate","Female",30,"Black or African American","Bachelor’s degree","9_advice",7,"F_2WINUPBCKOdHz6J","F_2QxnIdBoovHjjYQ","F_2TvB6UWTDe0NVy6","F_2YEQ2B2ewOLSors","F_2R4Vx6rPeJ8QCL6","F_2VlvJu7bcKL3C8U","F_2V2ckr3pz3KUvAJ","F_25sXyX3UPSCmm26","F_2DOIr8Hxz10zA5n","F_2OUPUqsP5PYUw8t",7
"150","F_2DOIr8Hxz10zA5n","R_1C7wCk1LqGuvmuJ","608f2b2239ba31bad6a074f7","2","10","3","6","9","7","8","5","4","1","Accurate","Female",61,"White or Caucasian","High school diploma or GED","6_advice",5,"F_2WINUPBCKOdHz6J","F_2YEQ2B2ewOLSors","F_2QxnIdBoovHjjYQ","F_2OUPUqsP5PYUw8t","F_25sXyX3UPSCmm26","F_2DOIr8Hxz10zA5n","F_2VlvJu7bcKL3C8U","F_2R4Vx6rPeJ8QCL6","F_2V2ckr3pz3KUvAJ","F_2TvB6UWTDe0NVy6",7
"151","F_2EbqxUIxsoZh86t","R_1DUr0QhctCbO9V8","5c55b95b91c0ad0001cf86ab","3","7","1","8","6","2","10","9","5","4","Likable","Male",47,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","2_advice",5,"F_2A0XS21S1xFDhcf","F_2EbqxUIxsoZh86t","F_2U4yLeE4ig5Tlm4","F_2OSH6c5r5dEQ8bH","F_2SJHPgJExaZV9dD","F_2UWLFxoMrEDwbGY","F_2S2X1YwaNf2jg5Y","F_2P8dAbbylEFAIIv","F_2TIfZib7lh6SlEK","F_2D79Z7IMYok2EJL",3
"152","F_2ePD2jGJu5LQOIU","R_xbjogyQwozWvcoV","5dea9fb3cb53ca1cda9f6116","2","1","8","9","6","3","5","4","10","7","Accurate","Female",40,"White or Caucasian","Bachelor’s degree","10_advice",7,"F_2flbSZ3386sePEL","F_2wh2IDjsftRJb8j","F_2dG79BQ86EYC6xy","F_2fy2vQzo7RiLI29","F_2eOQV6PXKbOAo65","F_2xY7c4yHNgf5XQr","F_2tm9Iv45wzDeg7l","F_2bIBgJo4SNw0OGt","F_2bNMbNUHwOsjSfQ","F_2ePD2jGJu5LQOIU",6
"153","F_2ePD2jGJu5LQOIU","R_301M8wtBTEwj3Cl","63bd8c8f03965fcab1bbb917","7","5","10","4","9","8","1","2","6","3","Likable","Female",28,"White or Caucasian","Associates or technical degree","1_advice",5,"F_2ePD2jGJu5LQOIU","F_2dG79BQ86EYC6xy","F_2fy2vQzo7RiLI29","F_2bIBgJo4SNw0OGt","F_2bNMbNUHwOsjSfQ","F_2tm9Iv45wzDeg7l","F_2flbSZ3386sePEL","F_2wh2IDjsftRJb8j","F_2eOQV6PXKbOAo65","F_2xY7c4yHNgf5XQr",6
"154","F_2ePD2jGJu5LQOIU","R_2agfX1TixkgCcGy","5f5d967f60d7fa5fdca4cc4f","10","9","5","6","3","4","2","1","8","7","Likable","Female",30,"Asian","Bachelor’s degree","10_advice",5,"F_2fy2vQzo7RiLI29","F_2dG79BQ86EYC6xy","F_2xY7c4yHNgf5XQr","F_2tm9Iv45wzDeg7l","F_2wh2IDjsftRJb8j","F_2eOQV6PXKbOAo65","F_2bIBgJo4SNw0OGt","F_2flbSZ3386sePEL","F_2bNMbNUHwOsjSfQ","F_2ePD2jGJu5LQOIU",6
"155","F_2ePD2jGJu5LQOIU","R_0cVwrQZlE6NxVIJ","612568764b0193f4200118de","7","2","5","3","9","10","6","1","8","4","Accurate","Female",25,"White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","1_advice",5,"F_2ePD2jGJu5LQOIU","F_2wh2IDjsftRJb8j","F_2bIBgJo4SNw0OGt","F_2eOQV6PXKbOAo65","F_2bNMbNUHwOsjSfQ","F_2dG79BQ86EYC6xy","F_2tm9Iv45wzDeg7l","F_2xY7c4yHNgf5XQr","F_2fy2vQzo7RiLI29","F_2flbSZ3386sePEL",6
"156","F_2ePD2jGJu5LQOIU","R_xsXsA7E2rO9gtHj","5d4359295a5b010001523b4e","10","5","3","4","8","9","1","2","6","7","Likable","Female",43,"White or Caucasian,Asian","Bachelor’s degree","10_advice",8,"F_2fy2vQzo7RiLI29","F_2wh2IDjsftRJb8j","F_2xY7c4yHNgf5XQr","F_2flbSZ3386sePEL","F_2tm9Iv45wzDeg7l","F_2bNMbNUHwOsjSfQ","F_2eOQV6PXKbOAo65","F_2bIBgJo4SNw0OGt","F_2dG79BQ86EYC6xy","F_2ePD2jGJu5LQOIU",6
"157","F_2ePD2jGJu5LQOIU","R_1rBUiMHv6cd7JbA","63d1401242635aaffe867c4c","3","8","2","1","5","7","10","9","4","6","Likable","Female",41,"White or Caucasian","Bachelor’s degree","6_advice",5,"F_2xY7c4yHNgf5XQr","F_2fy2vQzo7RiLI29","F_2flbSZ3386sePEL","F_2tm9Iv45wzDeg7l","F_2wh2IDjsftRJb8j","F_2ePD2jGJu5LQOIU","F_2dG79BQ86EYC6xy","F_2bNMbNUHwOsjSfQ","F_2bIBgJo4SNw0OGt","F_2eOQV6PXKbOAo65",6
"158","F_2ePD2jGJu5LQOIU","R_2azbSPPgXpxfuLl","5c919b521878b00001222d15","3","6","7","1","5","4","8","2","9","10","Likable","Female",23,"White or Caucasian","Associates or technical degree","3_advice",5,"F_2flbSZ3386sePEL","F_2tm9Iv45wzDeg7l","F_2ePD2jGJu5LQOIU","F_2wh2IDjsftRJb8j","F_2eOQV6PXKbOAo65","F_2xY7c4yHNgf5XQr","F_2dG79BQ86EYC6xy","F_2bIBgJo4SNw0OGt","F_2bNMbNUHwOsjSfQ","F_2fy2vQzo7RiLI29",6
"159","F_2ePD2jGJu5LQOIU","R_2OTSm3IwLeCD577","5dc2cbba034b451e7bd05f14","6","2","7","10","5","3","4","1","8","9","Likable","Female",49,"White or Caucasian","Bachelor’s degree","3_advice",6,"F_2tm9Iv45wzDeg7l","F_2eOQV6PXKbOAo65","F_2ePD2jGJu5LQOIU","F_2fy2vQzo7RiLI29","F_2bIBgJo4SNw0OGt","F_2flbSZ3386sePEL","F_2xY7c4yHNgf5XQr","F_2wh2IDjsftRJb8j","F_2bNMbNUHwOsjSfQ","F_2dG79BQ86EYC6xy",6
"160","F_2ePD2jGJu5LQOIU","R_vHszCdTImX5G2dP","60171277d472ae2062db3a35","7","6","3","4","2","1","8","9","10","5","Likable","Female",38,"White or Caucasian","Bachelor’s degree","1_advice",6,"F_2ePD2jGJu5LQOIU","F_2tm9Iv45wzDeg7l","F_2eOQV6PXKbOAo65","F_2flbSZ3386sePEL","F_2bIBgJo4SNw0OGt","F_2xY7c4yHNgf5XQr","F_2dG79BQ86EYC6xy","F_2fy2vQzo7RiLI29","F_2bNMbNUHwOsjSfQ","F_2wh2IDjsftRJb8j",6
"161","F_2fkbeyEnBnr5OvX","R_SNVO0mN45gf92eJ","63bcbf7e0ac7e876387ef720","10","2","3","9","8","7","1","4","5","6","Accurate","Male",69,"White or Caucasian","Some college, but no degree","6_advice",7,"F_2WP5vO5hQ8fqX32","F_2qDb7rlgGSBrGaB","F_2b1WvETvZdlBk9L","F_2pVo0aEud3wtOS8","F_2X0AtHS0T9w4W6p","F_2fkbeyEnBnr5OvX","F_2aWUU2D0gW9Dtt0","F_2bObhWVEeUX95rB","F_2cqQJAkDBvFa7xu","F_2qat8eEGitOzdNk",5
"162","F_2fkbeyEnBnr5OvX","R_0c8OR10QFa3KvOF","5758a211cb13810006479a0d","1","6","10","5","3","2","9","7","4","8","Likable","Male",58,"White or Caucasian","Associates or technical degree","8_advice",7,"F_2b1WvETvZdlBk9L","F_2qat8eEGitOzdNk","F_2cqQJAkDBvFa7xu","F_2X0AtHS0T9w4W6p","F_2qDb7rlgGSBrGaB","F_2bObhWVEeUX95rB","F_2WP5vO5hQ8fqX32","F_2fkbeyEnBnr5OvX","F_2aWUU2D0gW9Dtt0","F_2pVo0aEud3wtOS8",5
"163","F_2fkbeyEnBnr5OvX","R_2b1NZVAD0DezpjI","5786d6076475d400015a959e","5","6","1","4","7","10","8","9","2","3","Accurate","Male",37,"White or Caucasian","Some college, but no degree","5_advice",7,"F_2cqQJAkDBvFa7xu","F_2WP5vO5hQ8fqX32","F_2qDb7rlgGSBrGaB","F_2qat8eEGitOzdNk","F_2fkbeyEnBnr5OvX","F_2pVo0aEud3wtOS8","F_2bObhWVEeUX95rB","F_2X0AtHS0T9w4W6p","F_2b1WvETvZdlBk9L","F_2aWUU2D0gW9Dtt0",5
"164","F_2flbSZ3386sePEL","R_2qdQz7Xd75e6LFk","5baac103748f990001a1101e","7","10","5","6","9","8","2","4","1","3","Likable","Female",61,"White or Caucasian","Bachelor’s degree","1_advice",7,"F_2flbSZ3386sePEL","F_2xY7c4yHNgf5XQr","F_2eOQV6PXKbOAo65","F_2bIBgJo4SNw0OGt","F_2wh2IDjsftRJb8j","F_2tm9Iv45wzDeg7l","F_2ePD2jGJu5LQOIU","F_2dG79BQ86EYC6xy","F_2fy2vQzo7RiLI29","F_2bNMbNUHwOsjSfQ",4
"165","F_2flbSZ3386sePEL","R_31uaEM3E8ZzDeLR","5f97525e873236100b213eaa","6","7","1","2","4","8","9","3","5","10","Likable","Female",42,"White or Caucasian","Some college, but no degree","2_advice",5,"F_2bIBgJo4SNw0OGt","F_2flbSZ3386sePEL","F_2ePD2jGJu5LQOIU","F_2wh2IDjsftRJb8j","F_2xY7c4yHNgf5XQr","F_2dG79BQ86EYC6xy","F_2bNMbNUHwOsjSfQ","F_2eOQV6PXKbOAo65","F_2tm9Iv45wzDeg7l","F_2fy2vQzo7RiLI29",4
