StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID2,QID3,QID21_First Click,QID21_Last Click,QID21_Page Submit,QID21_Click Count,CT&PS4,CT&PS6,CT&PS8,EI1,EI4,EI5,EI9,S&C4,S&C6,S&C8,Age,Gender,Ethnicity,Education,Comments,SC0,PROLIFIC_PID,Score
2024-05-03 11:10:25,2024-05-03 11:17:09,IP Address,98.116.107.121,100,403,True,2024-05-03 11:17:09,R_5QDVvLizbor4WI9,,,,,40.6462,-73.9559,anonymous,EN,I agree to participate.,66325445c56a044e58f6e8be,12.3,293.548,300.123,21,once moon,,chats,irritated,worried,fantasizing,affectionate,Avoiding visual aids,To impose one's cultural values on others,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",43,Female,Other,"Some college, but no degree",,2,66325445c56a044e58f6e8be,2
2024-05-03 11:08:40,2024-05-03 11:17:40,IP Address,75.204.92.81,100,540,True,2024-05-03 11:17:41,R_3JUVaTWffSEOpn3,,,,,33.5065,-112.0664,anonymous,EN,I agree to participate.,66140c26ed884c5d523440f5,9.502,296.224,301.761,10,moon onc,rooter,,,,,,,,,61,Female,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,0,66140c26ed884c5d523440f5,0
2024-05-03 11:11:11,2024-05-03 11:17:49,IP Address,50.39.117.115,100,398,True,2024-05-03 11:17:50,R_2f6CKTkr5iNUUOx,,,,,45.5152,-122.4167,anonymous,EN,I agree to participate.,6631997e0554bb6d25062fd4,3.363,276.104,301.847,18,Once in a blue moon,Painless Operation,Small Talk,comforting,irritated,fantasizing,aghast,Speaking confidently,To understand and respect cultural differences,"""I'm grateful for your feedback and eager to learn. I'll be responsible for the result but, if you have any time, can I watch you fix it?""",24,Male,White or Caucasian,High school diploma or GED,,4,6631997e0554bb6d25062fd4,4
2024-05-03 11:09:23,2024-05-03 11:17:49,IP Address,173.21.206.77,100,506,True,2024-05-03 11:17:50,R_2AwX5PoWIY03oE9,,,,,41.9846,-91.627,anonymous,EN,I agree to participate.,662fbae9b9b9d43471a00ef9,4.23,299.842,300.155,29,Once,orer,talk,irritated,sarcastic,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",22,Female,Other,"Some college, but no degree",Great survey :),2,662fbae9b9b9d43471a00ef9,2
2024-05-03 11:08:59,2024-05-03 11:18:03,IP Address,204.242.1.1,100,544,True,2024-05-03 11:18:04,R_7DkhRZXhSbv8eTj,,,,,39.0469,-77.4903,anonymous,EN,I agree to participate.,654cd7cdd242242523a845f2,8.062,134.004,379.265,15,Moon,,Talk,playful,worried,uneasy,affectionate,Speaking confidently,To understand and respect cultural differences,"""Thank you. Can I come back to you after I look online for some resources to help me fix it?""",38,Male,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,4,654cd7cdd242242523a845f2,4
2024-05-03 11:12:36,2024-05-03 11:18:36,IP Address,76.121.219.32,100,360,True,2024-05-03 11:18:36,R_5L20YwXH5gPOSke,,,,,47.4902,-122.3004,anonymous,EN,I agree to participate.,66130b23ee407564e718fcfd,2.668,219.027,300.022,11,ONCE IN A BLUE MOON,OPERATION,SMALL TALK,comforting,worried,uneasy,doubtful,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",40,Female,Asian,Associates or technical degree,,7,66130b23ee407564e718fcfd,7
2024-05-03 11:10:41,2024-05-03 11:18:41,IP Address,98.18.117.43,100,479,True,2024-05-03 11:18:41,R_71oYJJlbtV8iNze,,,,,34.5701,-83.3091,anonymous,EN,I agree to participate.,6634ee5e11f612e998d1dae0,2.05,264.095,300.039,28,once in a blue moon,operation,small talk,playful,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",37,Female,White or Caucasian,Associates or technical degree,Would like to have know the correct answers,6,6634ee5e11f612e998d1dae0,6
2024-05-03 11:13:15,2024-05-03 11:18:55,IP Address,69.92.209.110,100,339,True,2024-05-03 11:18:56,R_3frDLcHWHUEVxqV,,,,,33.6416,-96.6146,anonymous,EN,I agree to participate.,66329abb8d822d4a70167e9e,14.901,165.742,300.158,13,moon,yes,talk,playful,worried,uneasy,affectionate,Speaking confidently,To understand and respect cultural differences,"""I'm grateful for your feedback and eager to learn. I'll be responsible for the result but, if you have any time, can I watch you fix it?""",47,Female,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,4,66329abb8d822d4a70167e9e,4
2024-05-03 11:12:24,2024-05-03 11:19:15,IP Address,70.162.204.72,100,411,True,2024-05-03 11:19:16,R_41ZsxN36GjcRquG,,,,,33.5988,-111.8795,anonymous,EN,I agree to participate.,65d73ee0c7c5cd7171f32ecd,1.012,299.689,300.031,116,once in a blue moon,painless operation,small talk,playful,worried,uneasy,affectionate,Speaking confidently,To understand and respect cultural differences,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",33,Female,White or Caucasian,Bachelor’s degree,,8,65d73ee0c7c5cd7171f32ecd,8
2024-05-03 11:13:09,2024-05-03 11:19:32,IP Address,173.173.18.229,100,383,True,2024-05-03 11:19:32,R_3ptjMnwGJpUTwtb,,,,,31.0736,-97.4727,anonymous,EN,I agree to participate.,6294cced417fa0a733ba14a4,13.458,173.713,300.096,29,Sad,Happy,Loud,playful,worried,fantasizing,affectionate,Speaking confidently,To impose one's cultural values on others,"""Ok. You say it's pretty bad but is there any concrete feedback you can give me to make it better?""",37,Male,Other,"Some college, but no degree","Very interesting study about perceptions on facial expressions and a writing task. Thank you very much,",3,6294cced417fa0a733ba14a4,3
2024-05-03 11:11:11,2024-05-03 11:20:37,IP Address,35.151.224.150,100,565,True,2024-05-03 11:20:37,R_65ZMdSwqPJkqkhF,,,,,34.1648,-118.1515,anonymous,EN,I agree to participate.,6634ff060151de063a8faa45,1.49,135.412,300.132,11,Once in a blue moon,Painless operation,Little Talk,irritated,worried,fantasizing,affectionate,Speaking confidently,To understand and respect cultural differences,"""Thank you. Can I come back to you after I look online for some resources to help me fix it?""",28,Female,Other,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",,4,6634ff060151de063a8faa45,4
2024-05-03 11:10:03,2024-05-03 11:23:57,IP Address,66.168.119.215,100,833,True,2024-05-03 11:23:57,R_1zdb5rX5K1QbrZR,,,,,42.2821,-71.8262,anonymous,EN,I agree to participate.,663308faa6b5029db909e0d3,2.212,281.793,300.049,15,Once On Moon,OPERATION,talk,irritated,worried,uneasy,doubtful,Maintaining eye contact with the audience,To understand and respect cultural differences,"""Thank you. Can I come back to you after I look online for some resources to help me fix it?""",42,Male,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",This was interesting.,5,663308faa6b5029db909e0d3,5
